Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,TotalIncome,LoanIncomeRatio,EMI,EstimatedSavings,StabilityScore,DebtStress,Loan_Status
Female,No,3,Graduate,No,12517,3034,579,240,1,15551,0.03722993827160494,2.4125,3110.2000000000003,3887.75,0.0001551247427983539,1
Female,No,1,Not Graduate,No,1863,9377,638,240,1,11240,0.05675651632417045,2.658333333333333,2248.0,5620.0,0.0002364854846840435,1
Male,Yes,0,Graduate,Yes,11858,3262,94,240,0,15120,0.006216520071423847,0.39166666666666666,3024.0,15120.0,2.5902166964266032e-05,1
Male,Yes,2,Graduate,No,4809,2107,521,240,1,6916,0.07532167124475929,2.1708333333333334,1383.2,2305.3333333333335,0.0003138402968531637,1
Female,Yes,2,Graduate,No,18429,7036,420,360,1,25465,0.016492578339747113,1.1666666666666667,5093.0,8488.333333333334,4.581271761040865e-05,1
Female,No,1,Not Graduate,No,4740,4320,141,180,1,9060,0.01556119633594526,0.7833333333333333,1812.0,4530.0,8.645109075525145e-05,1
Female,Yes,2,Not Graduate,No,8165,5938,71,360,1,14103,0.00503403289846852,0.19722222222222222,2820.6000000000004,4701.0,1.3983424717968109e-05,1
Male,No,2,Graduate,Yes,14421,2747,221,300,0,17168,0.012872036810530608,0.7366666666666667,3433.6000000000004,5722.666666666667,4.290678936843536e-05,1
Female,No,1,Not Graduate,No,3436,4677,653,300,1,8113,0.0804781858516145,2.1766666666666667,1622.6000000000001,4056.5,0.00026826061950538166,1
Male,Yes,3,Not Graduate,Yes,15468,7972,241,240,1,23440,0.010281131351051576,1.0041666666666667,4688.0,5860.0,4.2838047296048234e-05,1
Male,No,3,Graduate,Yes,12697,4264,126,360,1,16961,0.007428369296073576,0.35,3392.2000000000003,4240.25,2.063435915575993e-05,1
Male,Yes,2,Graduate,Yes,13498,3133,330,360,0,16631,0.01984126984126984,0.9166666666666666,3326.2000000000003,5543.666666666667,5.511463844797178e-05,1
Male,Yes,3,Not Graduate,Yes,2382,1465,413,180,1,3847,0.10732848232848233,2.2944444444444443,769.4000000000001,961.75,0.0005962693462693463,1
Male,Yes,3,Not Graduate,No,8423,4109,228,180,1,12532,0.01819197319077635,1.2666666666666666,2506.4,3133.0,0.00010106651772653528,1
Female,Yes,2,Not Graduate,No,15208,2211,287,180,1,17419,0.016475315729047074,1.5944444444444446,3483.8,5806.333333333333,9.15295318280393e-05,1
Female,Yes,3,Graduate,No,6704,5539,184,360,1,12243,0.015027768703038223,0.5111111111111111,2448.6,3060.75,4.174380195288395e-05,1
Female,No,2,Graduate,Yes,8788,9735,329,180,1,18523,0.01776074282012524,1.8277777777777777,3704.6000000000004,6174.333333333333,9.867079344514024e-05,1
Female,No,0,Not Graduate,Yes,4703,1689,68,180,1,6392,0.010636633818238699,0.37777777777777777,1278.4,6392.0,5.9092410101326104e-05,1
Female,No,1,Graduate,Yes,3744,9763,644,180,1,13507,0.047675451584246374,3.577777777777778,2701.4,6753.5,0.00026486361991247986,1
Male,Yes,1,Graduate,No,1518,7727,420,240,1,9245,0.045425048669695,1.75,1849.0,4622.5,0.00018927103612372917,1
Female,Yes,3,Not Graduate,Yes,18525,7764,161,300,1,26289,0.006124001521491061,0.5366666666666666,5257.8,6572.25,2.0413338404970203e-05,1
Female,Yes,3,Not Graduate,No,4583,4541,270,300,1,9124,0.02958904109589041,0.9,1824.8000000000002,2281.0,9.863013698630137e-05,1
Male,No,3,Graduate,No,10021,3541,353,360,1,13562,0.026026690260266903,0.9805555555555555,2712.4,3390.5,7.229636183407472e-05,1
Female,Yes,1,Graduate,No,18749,818,374,360,1,19567,0.019112837285363858,1.038888888888889,3913.4,9783.5,5.309121468156628e-05,1
Male,No,0,Not Graduate,No,2273,4521,486,240,0,6794,0.07152317880794702,2.025,1358.8000000000002,6794.0,0.0002980132450331126,1
Female,No,0,Graduate,Yes,6232,1124,487,300,0,7356,0.06619546010602148,1.6233333333333333,1471.2,7356.0,0.00022065153368673826,1
Male,Yes,1,Graduate,No,8295,5660,219,180,1,13955,0.015692175408426483,1.2166666666666666,2791.0,6977.5,8.717875226903602e-05,1
Female,Yes,0,Not Graduate,Yes,8484,5641,424,180,1,14125,0.030015574118646467,2.3555555555555556,2825.0,14125.0,0.00016675318954803594,1
Female,No,1,Not Graduate,No,4067,1129,606,360,0,5196,0.11660573407735232,1.6833333333333333,1039.2,2598.0,0.0003239048168815342,0
Male,Yes,0,Graduate,Yes,17621,1702,430,300,1,19323,0.022252121713930862,1.4333333333333333,3864.6000000000004,19323.0,7.417373904643621e-05,1
Male,No,2,Graduate,Yes,3174,2001,63,360,1,5175,0.012171561051004637,0.175,1035.0,1725.0,3.380989180834621e-05,1
Male,Yes,2,Graduate,No,12375,6912,549,360,1,19287,0.028463293239319783,1.525,3857.4,6429.0,7.906470344255495e-05,1
Male,Yes,1,Not Graduate,No,13072,3878,695,180,1,16950,0.04100053094212731,3.861111111111111,3390.0,8475.0,0.00022778072745626283,1
Male,No,0,Graduate,No,2239,7232,440,180,1,9471,0.0464527027027027,2.4444444444444446,1894.2,9471.0,0.0002580705705705706,1
Male,Yes,3,Graduate,Yes,3045,9998,598,300,1,13043,0.04584483287335173,1.9933333333333334,2608.6000000000004,3260.75,0.0001528161095778391,1
Male,No,0,Not Graduate,No,10827,6331,614,360,1,17158,0.03578297103560814,1.7055555555555555,3431.6000000000004,17158.0,9.939714176557816e-05,1
Male,Yes,2,Not Graduate,No,6627,6035,579,240,1,12662,0.04572376214167259,2.4125,2532.4,4220.666666666667,0.00019051567559030247,1
Female,No,2,Graduate,Yes,10565,6523,541,300,0,17088,0.0316577915618234,1.8033333333333332,3417.6000000000004,5696.0,0.00010552597187274464,1
Female,No,0,Not Graduate,No,11992,8111,599,360,1,20103,0.02979506565857541,1.663888888888889,4020.6000000000004,20103.0,8.276407127382058e-05,1
Male,Yes,0,Not Graduate,Yes,15249,8736,434,300,0,23985,0.01809388810139248,1.4466666666666668,4797.0,23985.0,6.0312960337974935e-05,1
Female,No,3,Graduate,No,10545,2401,245,300,1,12946,0.01892330269560516,0.8166666666666667,2589.2000000000003,3236.5,6.30776756520172e-05,1
Female,Yes,3,Not Graduate,Yes,11021,9481,349,300,0,20502,0.0170218992342584,1.1633333333333333,4100.400000000001,5125.5,5.673966411419467e-05,1
Female,Yes,0,Not Graduate,Yes,10169,8974,596,240,1,19143,0.031132469703301295,2.4833333333333334,3828.6000000000004,19143.0,0.0001297186237637554,1
Female,Yes,0,Graduate,No,12783,539,651,240,1,13322,0.048862868723260525,2.7125,2664.4,13322.0,0.00020359528634691885,1
Male,No,0,Not Graduate,Yes,8498,5615,357,180,0,14113,0.02529403429219215,1.9833333333333334,2822.6000000000004,14113.0,0.00014052241273440082,1
Female,No,0,Graduate,No,14940,2956,301,180,1,17896,0.016818461194613624,1.6722222222222223,3579.2000000000003,17896.0,9.343589552563123e-05,1
Male,Yes,1,Graduate,No,14197,8077,57,360,0,22274,0.0025589225589225588,0.15833333333333333,4454.8,11137.0,7.10811821922933e-06,1
Female,Yes,0,Not Graduate,Yes,15233,3722,257,300,1,18955,0.013557712597594428,0.8566666666666667,3791.0,18955.0,4.519237532531476e-05,1
Female,No,3,Not Graduate,No,2769,5087,180,360,1,7856,0.022909507445589918,0.5,1571.2,1964.0,6.363752068219422e-05,1
Female,Yes,2,Not Graduate,Yes,9368,6460,657,180,1,15828,0.04150609640533198,3.65,3165.6000000000004,5276.0,0.00023058942447406658,1
Male,Yes,1,Graduate,Yes,13873,2170,75,240,1,16043,0.004674644727000748,0.3125,3208.6000000000004,8021.5,1.9477686362503115e-05,1
Female,No,0,Not Graduate,Yes,7461,3391,672,180,1,10852,0.061918363586105224,3.7333333333333334,2170.4,10852.0,0.0003439909088116957,1
Male,Yes,2,Graduate,Yes,17234,6942,503,360,1,24176,0.02080489721636266,1.3972222222222221,4835.2,8058.666666666667,5.779138115656294e-05,1
Female,No,1,Not Graduate,Yes,11161,1616,684,180,1,12777,0.05352950383471592,3.8,2555.4,6388.5,0.0002973861324150884,1
Male,Yes,2,Not Graduate,Yes,10069,9108,235,360,1,19177,0.012253623944102617,0.6527777777777778,3835.4,6392.333333333333,3.403784428917394e-05,1
Female,No,0,Not Graduate,Yes,9057,6458,533,360,1,15515,0.03435163701985048,1.4805555555555556,3103.0,15515.0,9.542121394402911e-05,1
Male,Yes,0,Graduate,Yes,19564,2756,100,360,1,22320,0.0044800860176515385,0.2777777777777778,4464.0,22320.0,1.2444683382365387e-05,1
Male,Yes,3,Not Graduate,No,9933,6853,54,360,1,16786,0.0032167748853279324,0.15,3357.2000000000003,4196.5,8.935485792577589e-06,1
Female,No,0,Not Graduate,No,17153,7709,638,180,0,24862,0.025660620198688814,3.5444444444444443,4972.400000000001,24862.0,0.00014255900110382675,1
Male,Yes,0,Graduate,Yes,10611,1936,209,360,1,12547,0.01665604080331527,0.5805555555555556,2509.4,12547.0,4.6266780009209085e-05,1
Female,No,1,Graduate,No,7182,3091,257,360,1,10273,0.02501459996106677,0.7138888888888889,2054.6,5136.5,6.948499989185214e-05,1
Female,Yes,3,Not Graduate,No,16979,968,306,300,1,17947,0.017049253398707376,1.02,3589.4,4486.75,5.683084466235792e-05,1
Female,No,1,Not Graduate,No,16547,7297,254,360,0,23844,0.010652128328790103,0.7055555555555556,4768.8,11922.0,2.958924535775029e-05,1
Female,No,2,Not Graduate,No,9584,3203,60,180,1,12787,0.0046918986549890525,0.3333333333333333,2557.4,4262.333333333333,2.6066103638828067e-05,1
Female,No,0,Graduate,No,17953,6499,57,360,0,24452,0.002331002331002331,0.15833333333333333,4890.400000000001,24452.0,6.4750064750064744e-06,1
Female,No,2,Graduate,No,7700,5173,458,240,1,12873,0.03557557868572316,1.9083333333333334,2574.6000000000004,4291.0,0.00014823157785717986,1
Female,Yes,1,Graduate,Yes,11778,889,81,240,1,12667,0.00639406378275971,0.3375,2533.4,6333.5,2.664193242816546e-05,1
Female,Yes,0,Graduate,No,3507,8984,589,360,1,12491,0.04715017611271213,1.636111111111111,2498.2000000000003,12491.0,0.00013097271142420037,1
Female,No,0,Not Graduate,No,17302,9173,436,240,1,26475,0.016467744372261672,1.8166666666666667,5295.0,26475.0,6.861560155109029e-05,1
Female,No,1,Graduate,No,14829,7382,277,240,1,22211,0.012470736538807852,1.1541666666666666,4442.2,11105.5,5.196140224503271e-05,1
Female,No,1,Graduate,No,4279,3531,689,180,1,7810,0.08820893611573422,3.827777777777778,1562.0,3905.0,0.0004900496450874124,1
Male,Yes,1,Graduate,Yes,2255,801,524,300,1,3056,0.17140987896630683,1.7466666666666666,611.2,1528.0,0.0005713662632210228,1
Male,Yes,1,Not Graduate,Yes,7995,8234,256,240,1,16229,0.015773259396179913,1.0666666666666667,3245.8,8114.5,6.572191415074964e-05,1
Female,Yes,1,Not Graduate,Yes,11687,3349,367,240,1,15036,0.024406464055330184,1.5291666666666666,3007.2000000000003,7518.0,0.00010169360023054244,1
Female,Yes,0,Graduate,Yes,11013,8005,606,300,1,19018,0.031862873968137126,2.02,3803.6000000000004,19018.0,0.00010620957989379042,1
Female,No,1,Graduate,No,18900,9969,666,300,1,28869,0.023068929684793904,2.22,5773.8,14434.5,7.689643228264636e-05,1
Female,No,0,Not Graduate,Yes,8847,3201,397,240,1,12048,0.03294879243090713,1.6541666666666666,2409.6,12048.0,0.0001372866351287797,1
Female,No,0,Not Graduate,Yes,15749,349,283,360,0,16098,0.017578731598235916,0.7861111111111111,3219.6000000000004,16098.0,4.8829809995099764e-05,1
Female,Yes,1,Not Graduate,Yes,16379,9759,93,240,1,26138,0.0035579019855388498,0.3875,5227.6,13069.0,1.4824591606411875e-05,1
Female,Yes,1,Not Graduate,Yes,15557,9321,191,360,1,24878,0.007677157442019374,0.5305555555555556,4975.6,12439.0,2.1325437338942706e-05,1
Female,Yes,3,Not Graduate,No,13557,9972,697,360,1,23529,0.0296217594560136,1.9361111111111111,4705.8,5882.25,8.228266515559333e-05,1
Male,No,0,Not Graduate,Yes,6438,583,225,360,0,7021,0.03204215323269724,0.625,1404.2,7021.0,8.900598120193676e-05,1
Female,No,1,Not Graduate,No,2237,3377,498,300,1,5614,0.08869100623330366,1.66,1122.8,2807.0,0.0002956366874443455,1
Male,Yes,1,Not Graduate,Yes,7700,6028,641,240,1,13728,0.04668948940199578,2.6708333333333334,2745.6000000000004,6864.0,0.00019453953917498241,1
Female,No,1,Graduate,No,9871,7694,131,240,1,17565,0.007457588523283616,0.5458333333333333,3513.0,8782.5,3.107328551368173e-05,1
Female,Yes,3,Graduate,No,18115,6196,184,180,1,24311,0.007568279039157618,1.0222222222222221,4862.2,6077.75,4.204599466198676e-05,1
Male,Yes,3,Graduate,Yes,19801,7083,226,300,1,26884,0.0084061744467175,0.7533333333333333,5376.8,6721.0,2.8020581489058333e-05,1
Female,No,2,Graduate,Yes,10034,3401,432,180,1,13435,0.032152426317356354,2.4,2687.0,4478.333333333333,0.00017862459065197975,1
Male,Yes,0,Graduate,Yes,4123,3185,292,180,0,7308,0.039950745656040496,1.6222222222222222,1461.6000000000001,7308.0,0.00022194858697800277,1
Female,No,2,Graduate,Yes,10146,5285,616,360,1,15431,0.039917055469155,1.711111111111111,3086.2000000000003,5143.666666666667,0.00011088070963654166,1
Female,Yes,1,Not Graduate,No,15043,9354,190,300,0,24397,0.007787523567505533,0.6333333333333333,4879.400000000001,12198.5,2.595841189168511e-05,1
Male,No,3,Not Graduate,No,14317,6772,506,180,1,21089,0.023992413466097675,2.811111111111111,4217.8,5272.25,0.00013329118592276485,1
Female,No,3,Graduate,Yes,5997,8490,489,240,0,14487,0.033752070679182775,2.0375,2897.4,3621.75,0.00014063362782992822,1
Male,No,2,Graduate,Yes,9433,3347,105,180,1,12780,0.008215319615053595,0.5833333333333334,2556.0,4260.0,4.5640664528075535e-05,1
Female,Yes,3,Not Graduate,No,8227,788,576,300,0,9015,0.06388642413487133,1.92,1803.0,2253.75,0.00021295474711623778,1
Male,Yes,1,Not Graduate,Yes,13656,4945,468,240,1,18601,0.02515858509837652,1.95,3720.2000000000003,9300.5,0.00010482743790990217,1
Male,No,3,Not Graduate,No,19449,2889,137,240,0,22338,0.006132772281659878,0.5708333333333333,4467.6,5584.5,2.555321784024949e-05,1
Female,No,2,Graduate,Yes,18192,9569,658,240,1,27761,0.023701462430660614,2.7416666666666667,5552.200000000001,9253.666666666666,9.87560934610859e-05,1
Female,Yes,1,Not Graduate,No,10127,5273,57,360,1,15400,0.003701058372832933,0.15833333333333333,3080.0,7700.0,1.0280717702313702e-05,1
Male,Yes,2,Graduate,No,9868,3272,526,240,0,13140,0.04002739517540522,2.191666666666667,2628.0,4380.0,0.0001667808132308551,1
Female,Yes,3,Graduate,No,18022,9069,264,360,1,27091,0.009744574043998228,0.7333333333333333,5418.200000000001,6772.75,2.706826123332841e-05,1
Female,No,2,Not Graduate,No,18077,5234,601,360,1,23311,0.025780713795470145,1.6694444444444445,4662.2,7770.333333333333,7.161309387630596e-05,1
Female,Yes,2,Not Graduate,No,17077,9769,546,180,0,26846,0.02033746787350542,3.033333333333333,5369.200000000001,8948.666666666666,0.00011298593263058566,1
Male,Yes,0,Graduate,Yes,14972,6902,552,180,0,21874,0.025234285714285713,3.066666666666667,4374.8,21874.0,0.0001401904761904762,1
Male,No,3,Not Graduate,No,2442,7612,294,240,1,10054,0.02923918448533068,1.225,2010.8000000000002,2513.5,0.00012182993535554451,1
Male,Yes,3,Not Graduate,Yes,6120,2492,527,300,0,8612,0.06118657842795774,1.7566666666666666,1722.4,2153.0,0.0002039552614265258,1
Male,Yes,2,Graduate,No,17695,6745,358,240,0,24440,0.014647518513972424,1.4916666666666667,4888.0,8146.666666666667,6.103132714155176e-05,1
Male,Yes,0,Not Graduate,No,12654,9574,280,180,1,22228,0.012596158171757615,1.5555555555555556,4445.6,22228.0,6.997865650976452e-05,1
Male,No,3,Graduate,Yes,7853,4240,432,240,1,12093,0.03572019183065983,1.8,2418.6,3023.25,0.0001488341326277493,1
Male,No,1,Graduate,Yes,10645,2322,204,180,1,12967,0.015731030228254166,1.1333333333333333,2593.4,6483.5,8.73946123791898e-05,1
Male,No,2,Not Graduate,Yes,10994,5298,224,240,0,16292,0.013748235438531885,0.9333333333333333,3258.4,5430.666666666667,5.728431432721619e-05,1
Male,No,3,Graduate,Yes,15062,1861,164,300,1,16923,0.009690380524698653,0.5466666666666666,3384.6000000000004,4230.75,3.2301268415662175e-05,1
Female,No,1,Graduate,No,4380,6620,439,240,1,11000,0.03990546313971457,1.8291666666666666,2200.0,5500.0,0.00016627276308214405,1
Male,No,3,Not Graduate,Yes,2045,4047,360,300,1,6092,0.059084194977843424,1.2,1218.4,1523.0,0.00019694731659281143,1
Female,No,1,Not Graduate,No,15632,7581,349,300,0,23213,0.01503403118807616,1.1633333333333333,4642.6,11606.5,5.0113437293587205e-05,1
Female,Yes,2,Not Graduate,Yes,14804,7320,67,240,1,22124,0.0030282485875706214,0.2791666666666667,4424.8,7374.666666666667,1.2617702448210923e-05,1
Female,Yes,3,Graduate,Yes,3427,1098,61,300,1,4525,0.013477684489615555,0.20333333333333334,905.0,1131.25,4.492561496538518e-05,1
Male,No,3,Graduate,No,17888,5247,453,300,1,23135,0.0195798755186722,1.51,4627.0,5783.75,6.526625172890733e-05,1
Male,Yes,0,Not Graduate,No,13173,1734,281,180,1,14907,0.018848940166353637,1.5611111111111111,2981.4,14907.0,0.0001047163342575202,1
Male,Yes,2,Graduate,Yes,16872,4663,654,180,1,21535,0.03036775631500743,3.6333333333333333,4307.0,7178.333333333333,0.00016870975730559683,1
Male,No,1,Not Graduate,No,4163,5909,327,300,0,10072,0.032463019954333365,1.09,2014.4,5036.0,0.00010821006651444457,1
Female,Yes,3,Not Graduate,No,16533,3416,402,360,1,19949,0.020150375939849623,1.1166666666666667,3989.8,4987.25,5.597326649958229e-05,1
Male,Yes,3,Graduate,No,10965,6302,352,240,1,17267,0.02038452629140607,1.4666666666666666,3453.4,4316.75,8.493552621419194e-05,1
Male,Yes,1,Not Graduate,No,4826,7593,590,300,1,12419,0.04750402576489533,1.9666666666666666,2483.8,6209.5,0.00015834675254965109,1
Male,Yes,2,Graduate,No,5159,680,519,240,1,5839,0.08886986301369863,2.1625,1167.8,1946.3333333333333,0.000370291095890411,1
Male,Yes,0,Graduate,No,19015,8163,126,180,0,27178,0.0046359321535008645,0.7,5435.6,27178.0,2.575517863056036e-05,1
Male,No,0,Not Graduate,No,6263,2070,570,240,1,8333,0.06839452843772498,2.375,1666.6000000000001,8333.0,0.0002849772018238541,1
Female,No,3,Graduate,No,12328,6668,73,300,1,18996,0.003842712007159025,0.24333333333333335,3799.2000000000003,4749.0,1.2809040023863418e-05,1
Male,No,1,Not Graduate,Yes,16320,8001,64,300,1,24321,0.002631362552421676,0.21333333333333335,4864.2,12160.5,8.771208508072253e-06,1
Female,Yes,3,Graduate,No,12721,9921,574,300,1,22642,0.02534999779181204,1.9133333333333333,4528.400000000001,5660.5,8.449999263937347e-05,1
Male,No,1,Graduate,Yes,12711,2191,396,300,1,14902,0.026571831174931223,1.32,2980.4,7451.0,8.857277058310407e-05,1
Female,Yes,0,Graduate,No,15069,8859,221,360,0,23928,0.009235655480797359,0.6138888888888889,4785.6,23928.0,2.565459855777044e-05,1
Male,Yes,2,Not Graduate,No,6592,9804,376,360,1,16396,0.02293102396779899,1.0444444444444445,3279.2000000000003,5465.333333333333,6.369728879944163e-05,1
Male,Yes,1,Graduate,No,7522,7586,534,360,1,15108,0.03534317294327884,1.4833333333333334,3021.6000000000004,7554.0,9.817548039799679e-05,1
Female,Yes,0,Not Graduate,No,14069,8872,538,300,1,22941,0.023450440240606746,1.7933333333333332,4588.2,22941.0,7.816813413535582e-05,1
Female,No,3,Graduate,Yes,15015,9164,511,360,0,24179,0.021133167907361455,1.4194444444444445,4835.8,6044.75,5.870324418711516e-05,1
Female,No,1,Graduate,Yes,7659,2846,427,240,1,10505,0.04064344184275652,1.7791666666666666,2101.0,5252.5,0.0001693476743448188,1
Male,Yes,2,Not Graduate,No,14723,2463,637,300,1,17186,0.03706289637516728,2.1233333333333335,3437.2000000000003,5728.666666666667,0.00012354298791722427,1
Female,No,3,Not Graduate,Yes,9945,6837,213,180,0,16782,0.012691413930763272,1.1833333333333333,3356.4,4195.5,7.050785517090706e-05,1
Male,Yes,3,Not Graduate,No,12522,4922,421,300,1,17444,0.02413298939524219,1.4033333333333333,3488.8,4361.0,8.044329798414063e-05,1
Male,No,0,Not Graduate,No,4544,4392,622,240,1,8936,0.06959829920554995,2.591666666666667,1787.2,8936.0,0.00028999291335645816,1
Female,No,1,Not Graduate,Yes,11112,3183,473,360,1,14295,0.03308617795187465,1.3138888888888889,2859.0,7147.5,9.190604986631847e-05,1
Female,Yes,3,Graduate,Yes,7136,3167,526,300,1,10303,0.051048136645962736,1.7533333333333334,2060.6,2575.75,0.00017016045548654246,1
Male,No,2,Graduate,No,13093,2997,431,360,1,16090,0.026785159405879062,1.1972222222222222,3218.0,5363.333333333333,7.440322057188629e-05,1
Male,Yes,1,Not Graduate,No,17679,6521,204,300,1,24200,0.008429403743646957,0.68,4840.0,12100.0,2.8098012478823192e-05,1
Female,No,2,Graduate,Yes,4392,3227,306,240,1,7619,0.04015748031496063,1.275,1523.8000000000002,2539.6666666666665,0.00016732283464566928,1
Female,Yes,3,Graduate,No,7312,6564,117,300,1,13876,0.00843121712185631,0.39,2775.2000000000003,3469.0,2.8104057072854364e-05,1
Female,Yes,2,Graduate,Yes,2154,9920,393,360,0,12074,0.032546583850931676,1.0916666666666666,2414.8,4024.6666666666665,9.040717736369909e-05,1
Male,No,0,Not Graduate,No,18643,2024,326,360,1,20667,0.015773175924133926,0.9055555555555556,4133.400000000001,20667.0,4.381437756703869e-05,1
Male,No,2,Graduate,No,3298,329,440,240,1,3627,0.12127894156560089,1.8333333333333333,725.4000000000001,1209.0,0.0005053289231900037,1
Male,Yes,1,Graduate,Yes,6659,2486,498,300,1,9145,0.05445003280122458,1.66,1829.0,4572.5,0.00018150010933741525,1
Male,No,2,Graduate,Yes,13118,1155,308,180,0,14273,0.02157769370884125,1.711111111111111,2854.6000000000004,4757.666666666667,0.00011987607616022915,1
Male,No,2,Not Graduate,Yes,9946,4477,356,300,0,14423,0.02468108707709373,1.1866666666666668,2884.6000000000004,4807.666666666667,8.227029025697912e-05,1
Male,Yes,0,Graduate,No,5323,2185,144,240,1,7508,0.019176987614862164,0.6,1501.6000000000001,7508.0,7.990411506192568e-05,1
Female,Yes,2,Graduate,No,17599,7086,513,180,1,24685,0.020781009479056957,2.85,4937.0,8228.333333333334,0.00011545005266142753,1
Male,No,2,Not Graduate,No,19760,2317,295,240,1,22077,0.013361717546879247,1.2291666666666667,4415.400000000001,7359.0,5.567382311199686e-05,1
Male,Yes,3,Not Graduate,No,9287,3621,684,300,1,12908,0.05298628863583547,2.28,2581.6000000000004,3227.0,0.00017662096211945152,1
Male,Yes,3,Graduate,Yes,12696,4491,236,180,1,17187,0.01373050965790086,1.3111111111111111,3437.4,4296.75,7.628060921056034e-05,1
Female,Yes,1,Graduate,No,7880,2511,422,240,1,10391,0.04060816012317167,1.7583333333333333,2078.2000000000003,5195.5,0.00016920066717988194,1
Male,No,3,Not Graduate,No,18892,7842,621,360,0,26734,0.02322797830559192,1.725,5346.8,6683.5,6.452216195997756e-05,1
